Feature,Ranking
transact,1
onServiceConnected,1
bindService,1
attachInterface,1
ServiceConnection,1
android.os.Binder,1
Ljava.lang.Class.getCanonicalName,1
Ljava.lang.Class.getMethods,1
Ljava.lang.Class.cast,1
Ljava.net.URLDecoder,1
android.content.pm.Signature,1
android.telephony.SmsManager,1
getBinder,23
ClassLoader,1
Landroid.content.Context.registerReceiver,1
Ljava.lang.Class.getField,1
Landroid.content.Context.unregisterReceiver,1
Ljava.lang.Class.getDeclaredField,1
getCallingUid,28
Ljavax.crypto.spec.SecretKeySpec,6
android.content.pm.PackageInfo,1
KeySpec,16
TelephonyManager.getLine1Number,1
DexClassLoader,25
HttpGet.init,1
SecretKey,24
Ljava.lang.Class.getMethod,1
System.loadLibrary,3
android.intent.action.SEND,14
Ljavax.crypto.Cipher,12
android.telephony.gsm.SmsManager,1
TelephonyManager.getSubscriberId,1
Runtime.getRuntime,9
Ljava.lang.Object.getClass,1
Ljava.lang.Class.forName,10
Binder,20
IBinder,11
android.os.IBinder,18
createSubprocess,17
URLClassLoader,26
abortBroadcast,1
TelephonyManager.getDeviceId,1
getCallingPid,37
Ljava.lang.Class.getPackage,15
Ljava.lang.Class.getDeclaredClasses,38
PathClassLoader,34
TelephonyManager.getSimSerialNumber,8
Runtime.load,30
TelephonyManager.getCallState,22
TelephonyManager.getSimCountryIso,13
sendMultipartTextMessage,36
PackageInstaller,19
sendDataMessage,31
HttpPost.init,2
Ljava.lang.Class.getClasses,32
TelephonyManager.isNetworkRoaming,27
HttpUriRequest,1
divideMessage,29
Runtime.exec,1
TelephonyManager.getNetworkOperator,1
MessengerService,41
IRemoteService,35
SET_ALARM,4
ACCOUNT_MANAGER,39
TelephonyManager.getSimOperator,7
onBind,1
Process.start,43
Context.bindService,42
ProcessBuilder,21
Ljava.lang.Class.getResource,1
defineClass,33
findClass,5
Runtime.loadLibrary,40
