Feature,Ranking
transact,1
onServiceConnected,1
bindService,1
attachInterface,1
ServiceConnection,1
android.os.Binder,1
SEND_SMS,1
Ljava.lang.Class.getCanonicalName,1
Ljava.lang.Class.getMethods,1
Ljava.lang.Class.cast,1
Ljava.net.URLDecoder,1
android.content.pm.Signature,1
android.telephony.SmsManager,1
READ_PHONE_STATE,1
getBinder,22
ClassLoader,1
Landroid.content.Context.registerReceiver,1
Ljava.lang.Class.getField,1
Landroid.content.Context.unregisterReceiver,1
GET_ACCOUNTS,1
RECEIVE_SMS,1
Ljava.lang.Class.getDeclaredField,1
READ_SMS,1
getCallingUid,58
Ljavax.crypto.spec.SecretKeySpec,1
android.intent.action.BOOT_COMPLETED,1
USE_CREDENTIALS,27
MANAGE_ACCOUNTS,1
android.content.pm.PackageInfo,1
KeySpec,7
TelephonyManager.getLine1Number,1
DexClassLoader,67
HttpGet.init,1
SecretKey,13
Ljava.lang.Class.getMethod,1
System.loadLibrary,1
android.intent.action.SEND,6
Ljavax.crypto.Cipher,17
WRITE_SMS,1
READ_SYNC_SETTINGS,1
AUTHENTICATE_ACCOUNTS,57
android.telephony.gsm.SmsManager,1
WRITE_HISTORY_BOOKMARKS,1
TelephonyManager.getSubscriberId,1
mount,1
INSTALL_PACKAGES,21
Runtime.getRuntime,1
CAMERA,1
Ljava.lang.Object.getClass,1
WRITE_SYNC_SETTINGS,38
READ_HISTORY_BOOKMARKS,1
Ljava.lang.Class.forName,3
INTERNET,1
android.intent.action.PACKAGE_REPLACED,9
Binder,1
android.intent.action.SEND_MULTIPLE,35
RECORD_AUDIO,11
IBinder,23
android.os.IBinder,16
createSubprocess,52
NFC,74
ACCESS_LOCATION_EXTRA_COMMANDS,19
URLClassLoader,68
WRITE_APN_SETTINGS,18
abortBroadcast,28
BIND_REMOTEVIEWS,78
android.intent.action.TIME_SET,25
READ_PROFILE,45
TelephonyManager.getDeviceId,1
MODIFY_AUDIO_SETTINGS,26
getCallingPid,102
READ_SYNC_STATS,88
BROADCAST_STICKY,63
android.intent.action.PACKAGE_REMOVED,41
android.intent.action.TIMEZONE_CHANGED,51
WAKE_LOCK,1
RECEIVE_BOOT_COMPLETED,1
RESTART_PACKAGES,24
Ljava.lang.Class.getPackage,14
chmod,1
Ljava.lang.Class.getDeclaredClasses,115
