Without Correlation,With Correlation,Accuracy,Precision,Recall,F1,AUC,,,
,,98.32,98.95,96.24,0.9755,0.9980,,,
15,12,96.68,97.68,92.78,0.9514,0.9885,,,
16,12,97.42,98.20,94.43,0.9624,0.9900,,,
17,12,97.26,97.59,94.58,0.9603,0.9884,,,
18,13,97.74,97.65,95.94,0.9673,0.9939,,,
19,15,97.58,97.01,96.09,0.9652,0.9951,,,100
20,15,97.32,96.58,95.78,0.9614,0.9944,,,
21,16,97.37,97.34,95.19,0.9620,0.9939,,,
22,17,97.42,97.00,95.64,0.9627,0.9945,,,
23,18,97.37,97.00,95.49,0.9619,0.9954,,,
24,19,97.47,97.02,95.79,0.9636,0.9951,,,
25,20,97.58,97.30,95.79,0.9651,0.9956,,,
