Feature,Ranking
transact,1
bindService,1
onServiceConnected,1
ServiceConnection,1
android.os.Binder,1
attachInterface,1
TelephonyManager.getSubscriberId,1
Ljava.lang.Class.getCanonicalName,1
Ljava.lang.Class.getMethods,8
Ljava.lang.Class.getField,1
Landroid.content.Context.unregisterReceiver,1
Landroid.content.Context.registerReceiver,1
getBinder,26
Ljava.lang.Class.cast,22
createSubprocess,1
Ljava.net.URLDecoder,1
TelephonyManager.getDeviceId,1
Ljava.lang.Class.getDeclaredField,6
HttpGet.init,2
Ljava.lang.Class.getPackage,23
abortBroadcast,1
ClassLoader,1
TelephonyManager.getLine1Number,1
getCallingUid,30
android.telephony.gsm.SmsManager,1
Ljava.lang.Class.getMethod,7
Ljava.lang.Class.forName,13
TelephonyManager.getSimSerialNumber,9
onBind,1
android.content.pm.Signature,1
PackageInstaller,1
HttpUriRequest,1
android.telephony.SmsManager,1
findClass,34
Ljava.lang.Class.getResource,1
URLClassLoader,33
TelephonyManager.getSimCountryIso,21
HttpPost.init,10
TelephonyManager.getNetworkOperator,14
Ljava.lang.Class.getClasses,31
getCallingPid,36
Runtime.exec,1
Ljava.lang.Class.getDeclaredClasses,35
android.os.IBinder,1
IBinder,1
Ljavax.crypto.spec.SecretKeySpec,15
Binder,18
PathClassLoader,28
Runtime.load,32
DexClassLoader,19
divideMessage,20
defineClass,40
ProcessBuilder,12
System.loadLibrary,5
KeySpec,4
sendDataMessage,37
SecretKey,17
Context.bindService,39
MessengerService,38
android.content.pm.PackageInfo,11
Process.start,41
IRemoteService,27
TelephonyManager.getCallState,25
Runtime.getRuntime,1
TelephonyManager.isNetworkRoaming,16
TelephonyManager.getSimOperator,24
sendMultipartTextMessage,29
Ljavax.crypto.Cipher,1
Ljava.lang.Object.getClass,3
